AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Dam Buster,PAGANI HUAYRA BC,A,1:17.547,https://youtu.be/PfkctrN_s6Q?t=498
Dam Buster,MCLAREN P1,A,1:21.657,https://youtu.be/YgRWcpQFIMo?t=445
Desert Life,HENNESSEY VENOM F5,S,1:05.166,https://youtu.be/us1h1ga-0dw
Desert Life,KOENIGSEGG JESKO,S,1:08.137,https://youtu.be/jEVIr9pMs3Q?si=rqNk07gazbFb5RFj&t=917
Desert Life,MCLAREN F1 LM,B,1:12.439,https://youtu.be/Rh5Ae2NJKJw?t=9
Desert Life,VOLKSWAGEN W12 COUPE,B,1:13.506,https://youtu.be/657pCdScxyc?t=11
Desert Life,APOLLO N,B,1:14.965,https://youtu.be/odnYzE4ldPg?t=2
Desert Life,PORSCHE CARRERA GT,B,1:15.216,https://youtu.be/irgdvM0pEd0?t=242
Desert Life,PORSCHE 911 GT3 RS,B,1:15.393,https://youtu.be/tTf98pIlIic?t=215
Desert Life,CHEVROLET CORVETTE GRAND SPORT,B,1:16.474,https://youtu.be/9gWikY72k8Q?t=451
Desert Life,GLICKENHAUS 003S,B,1:15.822,https://youtu.be/JDx0zvSSaFQ?si=dHB-bnr72XQ_jFMY&t=6
Desert Life,PININFARINA H2 SPEED,C,1:20.138,https://youtu.be/gVWAVgkDvqg?t=725
Desert Run,BUGATTI BOLIDE,S,1:07.232,https://youtu.be/NX8fW_ulS_s?t=130
Desert Run,KOENIGSEGG GEMERA,S,1:09.079,https://youtu.be/ThBfs-7UzHg?si=wZJPqMdE2vTx6u9O&t=366
Desert Run,KOENIGSEGG CCXR,S,1:09.251,https://youtu.be/PKaJibWYlbw
Desert Run,AUTOMOBILI PININFARINA BATTISTA,S,1:11.898,https://youtu.be/tkLYnnGOU1o?t=8
Desert Run,MCLAREN 570S SPIDER,A,1:14.340,https://youtu.be/BGG-x-k022Q?t=868
Desert Run,PEUGEOT ONYX,A,1:14.435,https://youtu.be/jEVIr9pMs3Q?si=CBK2nhkrYqs-FHzK&t=346
Desert Run,LAMBORGHINI AVENTADOR J,A,1:14.680,https://youtu.be/P7RDHku4aoc?si=PhD-WQfj2KhqOCv0&t=966
Dipping Down,KOENIGSEGG JESKO,S,0:55.893,https://youtu.be/ncD-cUO9N-8?t=6
Dipping Down,HENNESSEY VENOM F5,S,0:56.679,https://youtu.be/vimFJWQ1XBQ
Dipping Down,BUGATTI CHIRON,S,0:59.118,https://youtu.be/uR4ktoUxL68?t=12
Dipping Down,RIMAC NEVERA,S,1:01.523,https://youtu.be/ThBfs-7UzHg?si=N-RqwPolrpfRQ0ii&t=1117
Dipping Down,FERRARI LAFERRARI,A,1:05.164,https://youtu.be/HrsXuVrEH5g?t=14
Dipping Down,FERRARI F12TDF,B,1:05.712,https://youtu.be/Rc-npQ-ZN4A?t=694
Dipping Down,ARRINERA HUSSARYA 33,C,1:06.491,https://youtu.be/E5yucsTbntU?t=20
