AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Winding Road,ASTON MARTIN VALHALLA CONCEPT CAR,A,0:40.370,https://youtu.be/8cZDUaCeMxM?t=7
Winding Road,RIMAC CONCEPT_ONE,A,0:40.662,https://youtu.be/7oCjiELrMvo?si=MLioSAbkxQj50XVG&t=7
Winding Road,LAMBORGHINI COUNTACH LPI 800-4,A,0:41.199,https://youtu.be/O-faiOedDAs?si=aYkg0RNiOgd4Py5S&t=366
Winding Road,PAGANI IMOLA,A,0:41.293,https://youtu.be/FBG556LX4Vw?si=xZexyLQ5Qy1okYNv&t=950
Winding Road,FERRARI LAFERRARI APERTA,A,0:42.291,https://youtu.be/ivGIEQTNHS0?si=khJ83K5nrFhIhrXt&t=772
Zeppelin Race,BUGATTI CHIRON,S,0:35.331,https://youtu.be/_e1GfmHf1hM?si=GB7vkDB08w9EuTqt&t=25
Zeppelin Race,ASTON MARTIN VALHALLA CONCEPT CAR,A,0:35.719,https://youtu.be/eyPTpRv-3E4?t=9
Zeppelin Race,VANDA ELECTRICS DENDROBIUM,A,0:36.229,https://youtu.be/C5tUK9yy22M?si=i5V0PJaUu5wXgOQk&t=436
Zeppelin Race,PORSCHE 918 SPYDER,A,0:37.607,https://youtu.be/jEVIr9pMs3Q?si=oU27W3fAhd637aSo&t=866
Zeppelin Race,VOLKSWAGEN ELECTRIC R,D,0:39.361,https://youtu.be/uKFtbmYeWK0?si=B7XoiL3BB_xprdiK&t=101
Zeppelin Race,PORSCHE TAYCAN TURBO S,D,0:40.646,https://youtu.be/4s57pUGngkI?si=7gPBZSN4Vt4Ka3Pw&t=68
Zeppelin Race,LOTUS ELISE SPRINT 220,D,0:40.696,https://youtu.be/4s57pUGngkI?si=GBb4Hpc5lwyFqQvd&t=125
